Bulbasaur,"['Growl', 'Tackle', 'Leech Seed', 'Vine Whip', 'Poison Powder', 'Razor Leaf', 'Growth', 'Sleep Powder', 'Solar Beam', 'Cut', 'Swords Dance', 'Toxic', 'Body Slam', 'Take Down', 'Double-Edge', 'Rage', 'Mega Drain', 'Solar Beam', 'Mimic', 'Double Team', 'Reflect', 'Bide', 'Rest', 'Substitute', 'Growl', 'Tackle', 'Leech Seed', 'Vine Whip', 'Poison Powder', 'Razor Leaf', 'Growth', 'Sleep Powder', 'Solar Beam', 'Cut', 'Swords Dance', 'Toxic', 'Body Slam', 'Take Down', 'Double-Edge', 'Rage', 'Mega Drain', 'Solar Beam', 'Mimic', 'Double Team', 'Reflect', 'Bide', 'Rest', 'Substitute']"
Ivysaur,"['Growl', 'Leech Seed', 'Tackle', 'Leech Seed', 'Vine Whip', 'Poison Powder', 'Razor Leaf', 'Growth', 'Sleep Powder', 'Solar Beam', 'Cut', 'Swords Dance', 'Toxic', 'Body Slam', 'Take Down', 'Double-Edge', 'Rage', 'Mega Drain', 'Solar Beam', 'Mimic', 'Double Team', 'Reflect', 'Bide', 'Rest', 'Substitute', 'Growl', 'Leech Seed', 'Tackle', 'Leech Seed', 'Vine Whip', 'Poison Powder', 'Razor Leaf', 'Growth', 'Sleep Powder', 'Solar Beam', 'Cut', 'Swords Dance', 'Toxic', 'Body Slam', 'Take Down', 'Double-Edge', 'Rage', 'Mega Drain', 'Solar Beam', 'Mimic', 'Double Team', 'Reflect', 'Bide', 'Rest', 'Substitute']"
Venusaur,"['Growl', 'Leech Seed', 'Tackle', 'Vine Whip', 'Leech Seed', 'Vine Whip', 'Poison Powder', 'Razor Leaf', 'Growth', 'Sleep Powder', 'Solar Beam', 'Cut', 'Swords Dance', 'Toxic', 'Body Slam', 'Take Down', 'Double-Edge', 'Hyper Beam', 'Rage', 'Mega Drain', 'Solar Beam', 'Mimic', 'Double Team', 'Reflect', 'Bide', 'Rest', 'Substitute', 'Growl', 'Leech Seed', 'Tackle', 'Vine Whip', 'Leech Seed', 'Vine Whip', 'Poison Powder', 'Razor Leaf', 'Growth', 'Sleep Powder', 'Solar Beam', 'Cut', 'Swords Dance', 'Toxic', 'Body Slam', 'Take Down', 'Double-Edge', 'Hyper Beam', 'Rage', 'Mega Drain', 'Solar Beam', 'Mimic', 'Double Team', 'Reflect', 'Bide', 'Rest', 'Substitute']"
Charmander,"['Growl', 'Scratch', 'Ember', 'Leer', 'Rage', 'Slash', 'Flamethrower', 'Fire Spin', 'Cut', 'Strength', 'Mega Punch', 'Swords Dance', 'Mega Kick', 'Toxic', 'Body Slam', 'Take Down', 'Double-Edge', 'Submission', 'Counter', 'Seismic Toss', 'Rage', 'Dragon Rage', 'Dig', 'Mimic', 'Double Team', 'Reflect', 'Bide', 'Fire Blast', 'Swift', 'Skull Bash', 'Rest', 'Substitute', 'Growl', 'Scratch', 'Ember', 'Leer', 'Rage', 'Slash', 'Flamethrower', 'Fire Spin', 'Cut', 'Strength', 'Mega Punch', 'Swords Dance', 'Mega Kick', 'Toxic', 'Body Slam', 'Take Down', 'Double-Edge', 'Submission', 'Counter', 'Seismic Toss', 'Rage', 'Dragon Rage', 'Dig', 'Mimic', 'Double Team', 'Reflect', 'Bide', 'Fire Blast', 'Swift', 'Skull Bash', 'Rest', 'Substitute']"
Charmeleon,"['Ember', 'Growl', 'Scratch', 'Ember', 'Leer', 'Rage', 'Slash', 'Flamethrower', 'Fire Spin', 'Cut', 'Strength', 'Mega Punch', 'Swords Dance', 'Mega Kick', 'Toxic', 'Body Slam', 'Take Down', 'Double-Edge', 'Submission', 'Counter', 'Seismic Toss', 'Rage', 'Dragon Rage', 'Dig', 'Mimic', 'Double Team', 'Reflect', 'Bide', 'Fire Blast', 'Swift', 'Skull Bash', 'Rest', 'Substitute', 'Ember', 'Growl', 'Scratch', 'Ember', 'Leer', 'Rage', 'Slash', 'Flamethrower', 'Fire Spin', 'Cut', 'Strength', 'Mega Punch', 'Swords Dance', 'Mega Kick', 'Toxic', 'Body Slam', 'Take Down', 'Double-Edge', 'Submission', 'Counter', 'Seismic Toss', 'Rage', 'Dragon Rage', 'Dig', 'Mimic', 'Double Team', 'Reflect', 'Bide', 'Fire Blast', 'Swift', 'Skull Bash', 'Rest', 'Substitute']"
Charizard,"['Ember', 'Growl', 'Leer', 'Scratch', 'Ember', 'Leer', 'Rage', 'Slash', 'Flamethrower', 'Fire Spin', 'Cut', 'Strength', 'Mega Punch', 'Swords Dance', 'Mega Kick', 'Toxic', 'Body Slam', 'Take Down', 'Double-Edge', 'Hyper Beam', 'Submission', 'Counter', 'Seismic Toss', 'Rage', 'Dragon Rage', 'Earthquake', 'Fissure', 'Dig', 'Mimic', 'Double Team', 'Reflect', 'Bide', 'Fire Blast', 'Swift', 'Skull Bash', 'Rest', 'Substitute', 'Ember', 'Growl', 'Leer', 'Scratch', 'Ember', 'Leer', 'Rage', 'Slash', 'Flamethrower', 'Fire Spin', 'Cut', 'Fly', 'Strength', 'Mega Punch', 'Swords Dance', 'Mega Kick', 'Toxic', 'Body Slam', 'Take Down', 'Double-Edge', 'Hyper Beam', 'Submission', 'Counter', 'Seismic Toss', 'Rage', 'Dragon Rage', 'Earthquake', 'Fissure', 'Dig', 'Mimic', 'Double Team', 'Reflect', 'Bide', 'Fire Blast', 'Swift', 'Skull Bash', 'Rest', 'Substitute']"
Squirtle,"['Tackle', 'Tail Whip', 'Bubble', 'Water Gun', 'Bite', 'Withdraw', 'Skull Bash', 'Hydro Pump', 'Surf', 'Strength', 'Mega Punch', 'Mega Kick', 'Toxic', 'Body Slam', 'Take Down', 'Double-Edge', 'Bubble Beam', 'Water Gun', 'Ice Beam', 'Blizzard', 'Submission', 'Counter', 'Seismic Toss', 'Rage', 'Dig', 'Mimic', 'Double Team', 'Reflect', 'Bide', 'Skull Bash', 'Rest', 'Substitute', 'Tackle', 'Tail Whip', 'Bubble', 'Water Gun', 'Bite', 'Withdraw', 'Skull Bash', 'Hydro Pump', 'Surf', 'Strength', 'Mega Punch', 'Mega Kick', 'Toxic', 'Body Slam', 'Take Down', 'Double-Edge', 'Bubble Beam', 'Water Gun', 'Ice Beam', 'Blizzard', 'Submission', 'Counter', 'Seismic Toss', 'Rage', 'Dig', 'Mimic', 'Double Team', 'Reflect', 'Bide', 'Skull Bash', 'Rest', 'Substitute']"
Wartortle,"['Bubble', 'Tackle', 'Tail Whip', 'Bubble', 'Water Gun', 'Bite', 'Withdraw', 'Skull Bash', 'Hydro Pump', 'Surf', 'Strength', 'Mega Punch', 'Mega Kick', 'Toxic', 'Body Slam', 'Take Down', 'Double-Edge', 'Bubble Beam', 'Water Gun', 'Ice Beam', 'Blizzard', 'Submission', 'Counter', 'Seismic Toss', 'Rage', 'Dig', 'Mimic', 'Double Team', 'Reflect', 'Bide', 'Skull Bash', 'Rest', 'Substitute', 'Bubble', 'Tackle', 'Tail Whip', 'Bubble', 'Water Gun', 'Bite', 'Withdraw', 'Skull Bash', 'Hydro Pump', 'Surf', 'Strength', 'Mega Punch', 'Mega Kick', 'Toxic', 'Body Slam', 'Take Down', 'Double-Edge', 'Bubble Beam', 'Water Gun', 'Ice Beam', 'Blizzard', 'Submission', 'Counter', 'Seismic Toss', 'Rage', 'Dig', 'Mimic', 'Double Team', 'Reflect', 'Bide', 'Skull Bash', 'Rest', 'Substitute']"
Blastoise,"['Bubble', 'Tackle', 'Tail Whip', 'Water Gun', 'Bubble', 'Water Gun', 'Bite', 'Withdraw', 'Skull Bash', 'Hydro Pump', 'Surf', 'Strength', 'Mega Punch', 'Mega Kick', 'Toxic', 'Body Slam', 'Take Down', 'Double-Edge', 'Bubble Beam', 'Water Gun', 'Ice Beam', 'Blizzard', 'Hyper Beam', 'Submission', 'Counter', 'Seismic Toss', 'Rage', 'Earthquake', 'Fissure', 'Dig', 'Mimic', 'Double Team', 'Reflect', 'Bide', 'Skull Bash', 'Rest', 'Substitute', 'Bubble', 'Tackle', 'Tail Whip', 'Water Gun', 'Bubble', 'Water Gun', 'Bite', 'Withdraw', 'Skull Bash', 'Hydro Pump', 'Surf', 'Strength', 'Mega Punch', 'Mega Kick', 'Toxic', 'Body Slam', 'Take Down', 'Double-Edge', 'Bubble Beam', 'Water Gun', 'Ice Beam', 'Blizzard', 'Hyper Beam', 'Submission', 'Counter', 'Seismic Toss', 'Rage', 'Earthquake', 'Fissure', 'Dig', 'Mimic', 'Double Team', 'Reflect', 'Bide', 'Skull Bash', 'Rest', 'Substitute']"
Caterpie,"['String Shot', 'Tackle', 'String Shot', 'Tackle']"
Metapod,"['Harden', 'String Shot', 'Tackle', 'Harden', 'Harden', 'String Shot', 'Tackle']"
Butterfree,"['Confusion', 'Confusion', 'Poison Powder', 'Stun Spore', 'Sleep Powder', 'Supersonic', 'Whirlwind', 'Psybeam', 'Harden', 'String Shot', 'Tackle', 'Razor Wind', 'Whirlwind', 'Toxic', 'Take Down', 'Double-Edge', 'Hyper Beam', 'Rage', 'Mega Drain', 'Solar Beam', 'Psychic', 'Teleport', 'Mimic', 'Double Team', 'Reflect', 'Bide', 'Swift', 'Rest', 'Psywave', 'Substitute', 'Confusion', 'Confusion', 'Poison Powder', 'Stun Spore', 'Sleep Powder', 'Supersonic', 'Whirlwind', 'Gust', 'Psybeam', 'Harden', 'String Shot', 'Tackle', 'Flash', 'Razor Wind', 'Whirlwind', 'Toxic', 'Take Down', 'Double-Edge', 'Hyper Beam', 'Rage', 'Mega Drain', 'Solar Beam', 'Psychic', 'Teleport', 'Mimic', 'Double Team', 'Reflect', 'Bide', 'Swift', 'Rest', 'Psywave', 'Substitute']"
Weedle,"['Poison Sting', 'String Shot', 'Poison Sting', 'String Shot']"
Kakuna,"['Harden', 'Poison Sting', 'String Shot', 'Harden', 'Poison Sting', 'String Shot']"
Beedrill,"['Fury Attack', 'Fury Attack', 'Focus Energy', 'Twineedle', 'Rage', 'Pin Missile', 'Agility', 'Harden', 'Poison Sting', 'String Shot', 'Cut', 'Swords Dance', 'Toxic', 'Take Down', 'Double-Edge', 'Hyper Beam', 'Rage', 'Mega Drain', 'Mimic', 'Double Team', 'Reflect', 'Bide', 'Swift', 'Skull Bash', 'Rest', 'Substitute', 'Fury Attack', 'Fury Attack', 'Focus Energy', 'Twineedle', 'Rage', 'Pin Missile', 'Agility', 'Harden', 'Poison Sting', 'String Shot', 'Cut', 'Swords Dance', 'Toxic', 'Take Down', 'Double-Edge', 'Hyper Beam', 'Rage', 'Mega Drain', 'Mimic', 'Double Team', 'Reflect', 'Bide', 'Swift', 'Skull Bash', 'Rest', 'Substitute']"
